TF	RFX3	IRF2	MSX1	KLF16	KLF3	CRX	PAX2	MNT	MAZ	E2F3	CENPB	NR1I2	RFX1	EGR3	RARG	CREB3	ID4	PAX7	HEXIM1	ISG15	CELSR3	ZBTB7B	AGPAT3	TAPBPL
RFX3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
IRF2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0	1.0	1.0
MSX1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
KLF16	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
KLF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0
CRX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
PAX2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
MNT	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1.0	1.0	1.0	1.0	1.0	1.0
MAZ	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1.0	1.0	1.0	1.0	1.0	1.0
E2F3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	0.0	1.0
CENPB	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
NR1I2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
RFX1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
EGR3	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
RARG	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.0	0.0	1.0	1.0	1.0	0.0
CREB3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
ID4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
PAX7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
HEXIM1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
ISG15	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
CELSR3	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
ZBTB7B	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
AGPAT3	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TAPBPL	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
